County	 FIPS	Age-Adjusted Incidence Rate	Lower 95% Confidence Interval	Upper 95% Confidence Interval	Average Annual Count	Recent Trend	Recent 5-Year Trend in Incidence Rates	Lower 95% Confidence Interval	Upper 95% Confidence Interval
"Fannin County, Georgia(7,8)"	13111	30.3	22.4	40.5	12	stable	2.8	-1.4	7.3
"Grand Traverse County, Michigan(6,10)"	26055	30.2	25.6	35.4	33	stable	9.4	-25.5	60.6
"Cocke County, Tennessee(6,10)"	47029	30.2	23.1	38.9	13	stable	-16	-36.8	11.7
"Newton County, Georgia(7,8)"	13217	30.2	25.4	35.6	29	stable	2.7	-0.4	5.8
"Davidson County, North Carolina(6,10)"	37057	30.2	26.7	34	57	stable	-9.8	-20.3	2
"Caledonia County, Vermont(6,10)"	50005	30.1	22.6	39.6	12	stable	5	-11.5	24.6
"Des Moines County, Iowa(7,8)"	19057	30.1	23.4	38.3	15	rising	3.3	1.2	5.4
"Baldwin County, Alabama(6,10)"	1003	30.1	27	33.5	71	stable	-1	-9.9	8.7
"Klamath County, Oregon(6,10)"	41035	30.1	24.8	36.2	25	rising	18.2	2.9	35.7
"Staunton City, Virginia(6,10)"	51790	30.1	21.9	40.6	10	stable	-5.7	-43.2	56.7
"Mercer County, Ohio(6,10)"	39107	30	23	38.5	14	stable	7.1	-18.6	40.8
"Broomfield County, Colorado(6,10)"	8014	30	23.9	37.2	17	stable	10.6	-9.3	34.7
"Cayuga County, New York(6,10)"	36011	30	25.2	35.6	29	stable	6.6	-7.7	23.1
"Contra Costa County, California(7,8)"	6013	30	28.6	31.5	359	rising	4.1	3.5	4.7
"Miami County, Ohio(6,10)"	39109	30	25.6	34.8	36	stable	1.7	-20.2	29.6
"Webster County, Mississippi(6,10)"	28155	29.9	16.9	49.1	3	*	*	*	*
"Geneva County, Alabama(6,10)"	1061	29.9	22.1	39.7	10	stable	-9.1	-19.9	3.2
"Polk County, Florida(6,10)"	12105	29.9	28.1	31.7	234	stable	2.8	-6.7	13.3
"Montour County, Pennsylvania(6,10)"	42093	29.9	20.8	41.9	7	rising	41.4	18.5	68.8
"Ashe County, North Carolina(6,10)"	37009	29.9	22.1	39.7	11	stable	-1	-36.7	55
